token;freq
æz;539
sɛm;26
blaj;52
sɪs;329
si;850
ɑn;1369
bɹɔt;8
mʌt͡ʃ;56
ɡʊd;62
ðə;4195
ɡi;380
ni;1165
ɹæl;141
wɪt͡ʃ;210
æd;271
d͡ʒow;17
ɹ̩nz;1
tə;1938
dej;78
hæz;264
pɹ̩;198
fɔɹ;718
mɛd;49
ɪn;1561
æn;381
æt;462
mowsp;19
hi;612
ɹej;2242
ʌv;2075
kɹi;46
ænd;1360
stɹʌɡ;10
ɡl;12
fɹʌm;219
ɪt;538
kɑn;395
vi;1344
nɛd;156
wɑz;346
fɑ;127
sɛt;95
ajm;73
mi;1055
di;1245
ə;3298
ti;2721
laj;874
wɪð;330
ʃow;42
dawn;45
skulz;24
ɪz;817
su;180
i;1045
mɛt;47
skw;22
d͡ʒʌŋk;4
ɡow;211
vɹ̩;312
nɔɹ;37
t͡ʃi;1141
nɑt;391
ɹɪsk;9
bæn;22
du;431
nɪŋ;141
pʌb;91
lɪk;77
kɑ;355
fɑl;22
low;239
wɛd;29
hɪz;296
ɹɪk;39
æp;123
pɹow;320
pɹi;311
ɑnz;283
bʌd;32
ɡɛt;96
fajt;10
dɪd;175
tæk;25
kl;65
zi;81
ku;151
pow;351
wɹ̩z;23
faj;269
næl;191
wɛnt;9
bʌt;299
wej;95
bɪn;156
ow;773
pi;443
stɹɛŋkt;7
tɪŋ;243
ɹejz;177
lə;853
ɡɪs;27
lɑ;295
tɔɹz;37
mɑ;467
ðej;191
nid;31
lɔŋ;56
ɹæn;43
plæn;33
pɹɑɡ;69
ɹæmz;11
wejz;37
næn;14
ðɛm;89
hɑ;343
bi;742
kow;365
mʌsts;1
ɪf;134
stɑ;212
nɛkst;28
fju;40
waj;462
ɑɹz;81
vojd;9
vɹ̩n;70
mɛnt;286
ðɪs;326
ɪnz;51
tæn;67
mej;99
ɹɛd;168
æl;491
tu;400
naw;95
ɔl;160
tɹ̩;412
mojl;2
sow;510
pɑz;42
sɛd;201
ɑt;117
hɹ̩;344
bɪlz;3
wi;449
lɔst;15
ʃʌf;2
fl;6
wejt;9
fu;57
ejsi;222
t͡ʃɹ̩;67
tɑ;429
kæn;321
plɑ;53
əd;11
sɑ;170
tɪt;12
lɔ;32
skul;43
ɪŋk;67
sawθist;832
pɛn;82
dɹæɡ;4
ɹɑ;384
sɪŋ;103
sɛp;30
baj;427
pɑn;73
li;781
taj;498
mejn;31
tɛn;120
ɹow;240
ædz;20
mu;144
pɑ;157
ɛs;738
