token;freq
el;6781
ɡɾu;119
po;1741
es;4167
ta;5166
tal;397
e;12735
lekt;37
ɾi;3543
site;2
de;15403
fɾan;111
se;5922
fpa;822
edf;5
fpt;821
a;14941
nun;209
sio;160
oi;395
xu;564
bes;343
la;9443
komp;221
ɾa;6253
del;2555
poɾ;2743
sien;262
to;4512
emp;271
ɾe;5032
sa;3029
me;1940
ksi;144
ka;3994
na;4189
si;8560
dad;1113
aɡi;3
al;2827
mi;2401
aa;3
kɾe;168
da;3266
xa;448
pones;17
mit;9
su;2152
bis;164
ʝ;264
koɾ;318
ti;3730
on;352
pa;3474
neɾ;199
en;7291
maɾk;45
u;2413
sent;146
ɾal;401
ɡas;142
ɡa;1335
ba;2637
os;919
bos;291
eks;639
pliko;45
fe;571
k;7047
pɾoi;60
ek;210
konst;39
ɾuk;68
sion;2308
noɾ;159
te;5088
tam;329
pi;734
ko;3545
pɾebe;13
li;2337
tu;1362
mo;2174
kom;437
bus;67
tib;10
le;2249
pɾin;106
pal;95
sik;72
lo;2316
bi;2702
do;5888
be;1111
em;288
pe;2197
saɾ;484
fun;138
o;6067
naɾ;250
mai;294
pɾo;1000
du;642
saɾa;37
ɾed;23
elekt;34
publi;83
meksi;37
biɾ;133
tud;63
un;1927
ku;2015
eɾ;1355
ben;429
neɾɡ;23
ja;1416
kon;3301
sjon;566
kfe;3
ɲos;405
no;3326
ki;891
so;2183
laɾ;327
kwan;9
paɡo;3
paɾ;821
in;1665
teɾ;776
bendɾa;3
sis;343
ten;759
i;5698
pos;177
oɾ;621
men;1586
kaɾ;548
ɡaɾa;19
plo;105
taɾ;673
ak;489
nis;195
ɾon;765
sen;819
as;1017
ɾwiɾ;13
les;1302
kas;424
dos;1631
ɾjo;94
bɾa;209
bo;1288
sal;142
til;76
paɲ;62
tukspan;1
ne;1376
tje;260
pɾe;1132
beɾ;930
tiɾ;171
mil;263
nes;1532
eu;225
ɾos;717
dola;95
ɾes;1541
pɾi;437
naɾa;21
kui;74
kal;209
mala;13
lis;273
pp;60
konɡ;60
bin;59
bil;153
djo;174
los;3612
tan;892
tes;895
foɾ;467
ma;2413
pan;66
ad;217
nist;192
ɾaɾ;355
bik;86
bank;14
sul;149
an;1618
pu;1159
tel;45
ɡw;1070
ɲa;516
xi;518
nok;70
lek;291
di;2925
las;2251
ɡɾa;224
muk;206
nen;204
feso;5
bjen;428
sus;592
kin;83
tas;738
xe;985
tɾans;118
tjo;102
ab;453
ɲo;524
xose;94
maɾ;421
fi;1180
njo;8
omb;130
ʝe;316
baɾ;515
xen;336
lu;621
seɾ;1003
das;689
peɾ;737
nas;552
mos;643
def;9
ɾau;5
daɾ;204
ɡwɾo;71
sub;110
ɾaio;25
ɡiɾa;5
ɡo;1242
nan;151
des;1330
dja;133
sin;512
pɾob;82
mas;1069
ɡi;165
sjen;42
mis;293
tako;48
fin;83
siɾ;220
kunsk;4
ɾip;8
au;308
tono;12
ako;3
ent;601
ot;494
fak;45
tɾa;387
xo;709
dan;103
xem;62
pek;166
ɲalo;61
mu;552
est;301
luk;76
pso;55
ses;588
nume;70
ɾo;3166
nu;634
ɾan;543
im;344
eis;8
ble;260
fiko;14
ʝsto;23
kos;502
tɾip;9
lus;48
of;55
stet;2
nal;538
net;31
lands;2
ni;2129
et;18
njon;137
ɾen;508
kont;440
ɾol;144
komun;29
sas;375
kab;36
ɾaɡon;5
lel;2
meɾ;344
xes;92
tjon;40
ol;71
dinɡ;5
pɾes;32
ɲol;71
soɾ;79
dus;68
tɾi;169
son;362
is;96
tɾas;188
ksa;28
man;366
podɾ;65
dent;51
kam;313
ap;201
ɾeɡ;49
sob;395
ɾas;700
ob;265
pla;174
djes;46
djas;117
sil;166
kaɾa;21
bjeɾ;28
aust;25
nos;900
inko;3
ʝeɾ;12
ans;1
sta;11
um;3
bɾis;2
toɾ;397
taɾa;69
bek;34
aɾ;893
teo;16
dot;5
ɡws;51
dap;13
pitan;8
xon;24
new;3
podɾa;20
pʝ;8
lip;15
pous;6
ʝei;6
ton;171
witt;3
pleto;1
pat;64
ɾikk;7
ɾaf;8
bje;107
den;827
bost͡ʃ;1
wimb;2
don;189
ɡɾan;241
bu;348
feɾ;117
enf;64
aus;41
sje;37
dob;31
san;254
stol;4
wood;5
seɾa;95
xai;15
sins;1
fu;796
xoɾ;188
mjent;128
diɾa;14
deɾ;339
tjeɾ;51
dis;392
taɾan;31
tɾes;146
mun;212
bɾe;123
tim;5
ɡɾeɡ;1
ɾu;290
seds;1
xobe;21
bind;1
wan;13
ɡiɾ;76
tem;121
fɾen;80
doɾ;386
kolas;6
pent;1
sim;9
us;24
kistan;1
lan;281
kent;1
ɡil;9
leɾ;73
at;214
plus;4
kis;21
esta;250
dal;48
ɡos;169
sid;35
nei;44
pen;204
mui;201
aaf;5
tomo;29
ban;534
tos;1096
aun;249
ulti;191
ai;486
mento;33
solo;181
pis;55
mon;91
tau;7
met;77
ɡwn;204
bjo;97
obs;33
olim;48
seɡwn;205
pwes;166
mjeɾ;37
fiɾmo;73
pɾopo;11
loɾ;93
toi;16
bɾon;12
sep;145
kanso;8
mad;192
ɾid;139
suf;57
esk;61
ins;110
mok;43
fɾe;64
ɡlo;39
bal;140
ju;15
ɾep;127
tad;77
xil;22
xion;36
pjo;7
ɡaɾk;29
eksi;31
kɾi;99
demas;146
lido;2
tuɾon;4
suɾ;83
kompu;6
loɡɾo;22
lab;4
ɡanes;4
ɡano;11
koɾkon;1
mosto;1
pin;39
aɾe;17
w;275
feu;5
loɡ;117
amp;58
jas;106
asi;134
bas;350
tjan;10
ɾei;160
eb;66
boto;3
ʝeɡo;37
konk;77
nauf;10
nuk;19
kuɾsk;10
fero;1
pɾu;57
ekst;112
soɾp;28
kau;61
wn;14
aɾti;9
baɾents;2
ʝpo;6
lja;1
kleba;4
nob;25
katast;5
ʝs;80
ɾeu;81
seɲo;3
pɾen;75
bles;60
mal;82
pak;39
ii;10
nin;53
ɾosi;1
kaɾto;4
ɾoɾ;14
bot;3
fɾaɡ;4
ɡaɾ;244
boko;17
ɾet;46
sek;165
tis;111
mosku;14
pɾok;10
lamo;5
bɾita;29
t͡ʃoko;1
lond;10
was;17
ʝnɡ;18
ɾek;385
dek;123
sismoɡ;2
fos;27
boɾ;86
xoi;1
xist;50
dest;39
sos;410
pɾoksi;133
kada;10
line;26
tjem;148
fɾa;39
festo;19
laɾo;33
bwi;8
bladi;5
miɾ;26
ɾoie;3
tɾe;20
ink;176
jan;217
twi;21
neɡ;34
bui;17
t͡ʃek;10
pon;165
sab;60
sjemp;110
xib;5
bɾas;19
ɡmt;19
eeuu;46
foɾmo;38
tek;69
bide;6
pole;13
xos;137
most;47
jes;20
