token;freq
guardaré;9
puterios;20
putera;10
4ta;73
😡;148009
cansa;321
gente;20351
mandar;932
cadenas;144
wsp;454
puedo;15472
entrar;1499
faceeee;1
😠;87170
habla;2389
hueona;21
debe;3210
hecha;314
pico;296
envidiosa;100
culia;205
vive;1131
vida;22592
hija;1635
si;62636
alguien;11945
quiere;5323
andar;1437
raja;188
pela;147
wea;392
maradroga;3
defendiendo;153
narcoestado;5
impensado;5
🤔;3847
vergüenza;13684
argentino;220
pésimo;409
jugando;911
boca;2066
puta;8436
weon;396
malo;1915
cae;1442
bien;18813
cabro;24
chico;1497
cosa;4470
pensar;3137
matarlo;115
😱;3336
🤦🏻‍♀️;1151
unas;2376
ganas;11878
irme;975
lejos;1384
saber;5337
nadie;9587
🙏🏻;367
😤;79506
ahora;17187
resulta;627
inscrita;3
materia;332
😒;8869
vaya;3491
mamarle;2
huevo;683
diosdiablo;2
maduro;1151
traidor;218
no;758
queremos;1073
cerca;1132
hdp;1600
madre;7310
cuenta;6388
veces;6737
cojo;118
fastidio;308
viejas;393
hs;418
pasen;899
datos;529
android;55
ios;33
hicieron;1466
mal;16662
hizo;4718
envenenar;489
cagaria;54
trompadas;136
quería;2640
ir;12659
mc;382
pq;2481
tan;29122
estupida;326
entiende;859
humor;4015
😬;3391
otraaa;5
vez;14264
luz;3078
abuuso;1
dañan;61
vainas;130
ustedes;3921
responsableees;1
soluciooonnnnnnn;1
pa;3887
re;14113
estresa;245
noooo;430
metió;362
river;392
💔;7382
soporto;721
loco;3913
crees;758
sos;6646
concha;2427
lora;675
😔;5394
hagas;923
viva;903
candelaria;24
quiero;31846
crezca;60
pelo;1518
cola;500
así;16360
tiño;15
negro;1230
mando;1853
audio;591
papa;917
discutiendo;94
dice;6662
q;44069
tierna;232
qe;913
hijita;17
jajajaj;1329
chau;1153
lit;115
mato;727
ser;27437
celosa;521
😩;4729
😭;32514
voya;9
pegar;468
aun;1680
celular;2724
😢;13790
solo;17156
escribes;86
quieres;2607
después;6643
vale;10541
mierda;12789
😕;1986
uyyyy;18
empieze;28
partido;2874
pueeo;1
creer;2865
grado;168
impotencia;859
tengo;460
completar;93
idiotez;93
voy;25557
poder;6155
ver;23551
tener;12518
hacer;16397
lamina;4
dibujo;268
emberrincharme;1
🙄;5680
limaa;1
juan;807
color;617
labial;87
jajaja;9103
verena;1
tw;1265
👇🏻;44
supone;415
vas;5049
creciendo;158
madurando;11
notando;14
mientras;3078
grandes;1007
pelotudos;405
dos;8002
🤦🏽‍♀️;436
escupan;7
veneno;179
nomas;1180
veveno;1
volverán;80
tragar;92
😉;2840
😄;1619
pedo;2531
hermana;2778
publicando;74
reggeatoneros;1
relajito;4
siguió;138
acá;2943
x;5905
dios;8543
santo;255
😦;510
propia;669
tanta;4072
persecución;60
ceci;48
as;815
opinan;64
👊;4262
ahhhhh;78
nooooo;280
pedazo;515
pelotdos;1
ex;1550
banfield;44
angelici;67
aún;3885
seguimos;864
apoyando;228
‼️‼️;11
pude;1367
levantar;863
peor;6056
mejor;17180
sigo;4451
durmiendo;1164
iré;423
desparasitar;1
alergia;231
paro;1117
estornudar;65
siento;11154
ira;3390
tristeza;12083
decepción;456
😥;5026
calentarme;10
rápido;1410
haga;2436
ruido;523
puede;10833
despertar;933
bicho;165
hablas;644
ignoran;88
alv;809
putaaaaas;2
comen;190
cheetos;19
masivo;42
mk;200
odio;12630
pongo;3043
cosas;11453
dan;7334
dormir;8282
mismo;7219
toda;7579
escrita;38
lpm;7515
encima;3827
hago;3090
favor;4063
enoja;609
entierra;4
aborrezco;23
asolapada;3
furiosa;177
publico;189
pasa;6984
😂;42527
cualquier;2853
momento;5730
internet;2086
cada;9969
mas;22306
carajos;246
consistencia;7
empiezo;539
anda;2558
otroooo;5
wifi;808
dolor;4183
cabeza;4109
cuándo;848
hipocritas;29
coherencia;50
aquello;324
vos;11691
adheris;1
perseguis;1
jajajaajajajajajajajajajaja;1
quedo;1665
mia;662
sola;3466
según;667
cortaria;2
puntas;39
veo;6109
cabello;682
super;3178
corto;546
reina;596
charlotte;26
flair;1
lucha;781
summerslam;18
duele;2421
mira;2880
lees;195
sepas;278
extraño;4125
r;523
hala;74
madrid;1056
campeón;457
europa;269
partida;337
doble;663
actuan;19
eropuerto;1
sacan;667
llevas;205
llevaras;5
bomba;575
problemas;1611
ico;2
poet;1
turba;5
iracunda;2
quejandose;13
telegram;15
culpa;2225
josue;15
bolas;706
piso;835
stresa;1
psicó;1
gana;1350
cachetearla;2
manipuladira;1
asco;3004
persona;9639
agustin;106
asusta;145
rodilla;311
orejas;99
rojo;535
vivo;2186
día;82853
mierrrrda;36
estaria;258
feliz;139397
deja;4812
barada;2
ahi;1343
total;1085
acompañada;66
😌;1297
ojalá;4227
tetas;259
piernas;447
dejan;1531
hablar;4602
bella;1107
explique;192
tema;2149
quebre;15
uña;133
peliando;26
brian;162
bastante;1546
serio;41508
neta;1533
lleva;1350
m;2306
pila;182
atrapada;26
hospital;430
chingo;352
hambre;2041
ondaaa;13
loca;1830
caiga;321
colmo;330
septiembre;257
llega;2289
mtaa;1
tundiendo;1
uhhh;82
recien;489
martes;454
flashie;10
miercoles;110
mañana;9227
jueves;4397
unaa;14
hice;1974
tarea;432
historia;3624
dicen;4239
clases;1290
dejaa;20
vieja;3298
conchuda;172
nada;528
problemita;37
mio;1479
ley;759
reglamento;28
verdad;9448
establece;14
cuantas;372
licencias;20
año;4425
raiva;37
mano;2388
mostré;29
mamá;4564
emocionada;1448
vídeo;1395
chicos;2334
cantaban;20
canciones;1497
disney;401
cool;448
minutos;2174
adelantó;14
xq;3218
aburría;8
carga;451
tomar;2259
siestas;31
pasando;1776
tratan;282
clientes;293
enemigos;190
actúan;46
indiscriminadamente;5
siempre;25293
conectado;44
esperando;2022
saludo;925
hace;20452
días;7990
ptm;399
t;2499
uf;239
ksrte;1
5a6re;1
9ait;1
novela;523
hermano;3227
viendo;3278
cansu;62
transtorno;7
personalidad;206
lanza;81
quieren;2668
frente;1509
aserradero;4
😨;1179
papá;2004
volvio;124
arroz;181
nivel;1904
alimento;35
kenia;10
feo;2232
roben;102
cómo;5481
cuesta;1018
recuperarme;30
tobillo;122
tantas;1550
tiempo;7600
ponen;1987
espesos;2
malparido;105
peorsito;4
existe;1579
putas;686
despreciable;93
ca;111
pri;128
cho;18
so;524
ultima;393
mente;1169
da;24524
bronca;5074
hacen;5572
dar;4471
colgado;102
hincha;323
save;22
arquero;134
trini;19
zorra;256
llegan;688
pasar;3940
foto;3983
romper;929
todo;745
l;1372
sabes;3953
podes;1156
irte;191
llego;1578
mensaje;1578
puse;2867
buen;5499
asi;5043
largate;27
chingada;324
tuca;41
putaaaaaa;15
choca;420
calor;1293
gusto;10236
ajuste;28
traje;245
luchadora;40
lana;380
broncaaaa;67
traiganmeeee;1
1kilo;3
helado;543
preferencia;44
chocolate;668
blanco;606
plsss;5
🐖;84
mataria;23
hombres;1132
planeta;292
juro;2546
merece;2827
explicaciones;134
acaba;1521
repente;409
bluradio;4
enquilombada;2
dybala;80
sé;7886
arrecha;78
hablen;520
pana;446
babe;26
innombrable;13
todavía;3072
dura;807
hoy;24194
chupa;430
medias;250
dia;32659
respeta;205
codigos;23
decimos;172
nunca;13701
podés;369
cagó;226
hackers;15
metieran;9
got;412
quisiera;977
mr;147
robot;41
rastrearlos;1
dárles;1
unica;436
free;85
gane;705
cumple;4578
demasiado;3813
crea;268
depende;354
ayudar;524
ciertas;332
varas;18
blanquinoso;1
😍;16041
atropello;566
apoyo;939
democracia;327
poner;3494
mh;113
claro;2490
enamorado;323
seguir;3637
torturandome;4
cago;1426
igual;7566
mañanas;341
hora;5960
media;1639
parada;278
colectivo;617
volví;510
casa;9095
hijueputa;579
genio;589
caray;93
intento;524
hacerme;2456
peinado;43
éste;571
sale;2943
termino;1202
haciéndome;95
alta;1118
frustración;260
molesta;1659
den;895
seriedad;161
cable;274
hpta;482
mierdero;22
ciudad;1131
casi;4316
ns;41
tomamos;128
fresca;51
cn;393
viejo;1880
😑;3484
rusos;24
cierran;149
tempranos;1
cambiaron;217
búho;6
lindoos;1
vuelve;1486
trabajar;2289
rabia;8500
perra;859
malparida;80
nervios;411
muerdo;44
uñas;400
cala;63
dudo;229
abandonaste;16
finde;1026
pasado;3177
pareces;245
amigo;24975
oso;232
yunho;2
exacto;316
estubieran;2
escuela;1227
joden;138
abierta;274
enferma;1098
cagones;47
hijos;2072
mina;1380
indecisa;43
soyyy;17
cagaría;11
piñas;280
entiendo;2980
varones;35
cuentan;243
engañaron;19
mujer;3618
victoria;472
ganada;37
jueputa;143
personas;8483
mentirosasss;1
•y;4
cenando;33
manzanita;6
taas;1
aparece;628
demonio;159
plato;269
pizza;490
cacera;1
😪;2321
exijo;138
demás;2101
temporadas;176
cm;171
netflix;916
pelón;22
hijo;2605
inter;49
sánchez;105
inicio;438
contreras;15
wachos;82
cara;5818
fumo;102
pipa;39
mami;614
aveces;617
andaba;315
putear;111
desquitó;3
conmigo;3870
trabajo;3826
abre;288
puerta;900
conchetumare;45
cagar;964
banco;1174
🚐;6
regalarte;11
descuento;58
primeros;330
viajes;175
uber;427
aceptar;291
usa;669
código;93
emtdj79due;1
regístrate;1
gorra;177
vamos;5117
milloo;1
💪;2543
engrupieron;1
hablarle;266
alejandro;153
conteste;254
wpp;402
habló;158
twitter;3494
responde;697
idiota;1110
niños;1369
fastidiosa;27
querer;1992
pienso;1703
volver;3112
cursar;229
secundaria;134
vuelta;1294
último;1436
faltaba;459
baño;830
maldito;1513
valerse;2
d;8360
atrocidades;24
mencionas;21
justificar;160
simplemente;872
desproposito;2
nueva;1760
siquiera;1188
low;22
cost;9
barzas;1
pasaran;31
rojazos;1
tv;734
☹;1954
️;17004
caradura;133
queda;3048
pie;680
tigre;133
carteles;47
opositores;125
enojar;492
familia;3387
esfuerza;41
hacerlo;1111
harta;777
escuchar;3454
femicidios;16
llorar;49460
hp;628
realmente;2076
reverenda;34
mes;1619
exactos;9
⌛;11
capturado;12
coronel;19
sindicado;1
asesinar;99
primo;606
ffaa;41
capturan;10
terroristas;160
libres;258
hastas;1
metas;270
escusas;22
creo;7901
acuerdo;2322
joderme;71
😣;4707
kkkaaarrriiioooo;1
mala;4105
memoria;624
madreeeee;59
sacaron;345
comer;3425
agusto;103
salir;5178
mamadas;121
jefes;93
irresponsables;59
marcela;51
reacciona;46
ñónmásquerido;4
batería;326
empieza;1195
jugar;2309
caen;362
fotos;3763
negra;692
😷;1086
podré;288
️por;3
encabrono;22
transmiten;46
humillate;2
arrastres;3
igor;17
chaka;5
conozco;2020
pone;5175
breve;138
doy;2478
exorsista;1
taaaanto;25
sueño;5137
deberían;698
despedirlos;3
oportunidad;859
oro;587
deshacernos;4
lastre;14
magisterio;7
coma;188
saturen;1
mensajes;1076
encrispan;1
arrechera;218
rosales;55
contigo;3693
smolansky;6
pero;132
llama;1321
elecciones;562
jodiendo;273
lasso;6
🤬;716
oficina;397
iphone;1348
menos;7914
bajate;15
miedo;18278
rostro;492
mija;108
juega;6059
pablo;426
perez;133
duerme;451
única;1695
😞;2960
💩;1119
☭;3
🕳;5
🐀;189
↩;6
a;204
alcantarillá;1
rata;414
toxica;22
comunachamadurista;1
olvide;494
toque;718
escriben;188
viene;3635
calvin;10
salen;960
churuco;1
ende;68
seca;182
hijodeputa;13
llamadera;1
números;164
diferentes;308
paja;1134
leyendo;520
libro;876
