model_name;word;phoneme;freq_phoneme;valence;arousal;dominance;sum_vad;first_syllable;classifier;f1;accuracy;recall;precision;log_loss;cross_entropy;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;SVM;71.57;71.62;71.62;71.76;nan;nan;"              precision    recall  f1-score   support

          -1       0.74      0.68      0.70        74
           0       0.70      0.76      0.73        74

    accuracy                           0.72       148
   macro avg       0.72      0.72      0.72       148
weighted avg       0.72      0.72      0.72       148
";"[[50 18]
 [24 56]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:59 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;SVM;74.94;75.0;75.0;75.23;nan;nan;"              precision    recall  f1-score   support

          -1       0.78      0.70      0.74        74
           0       0.73      0.80      0.76        74

    accuracy                           0.75       148
   macro avg       0.75      0.75      0.75       148
weighted avg       0.75      0.75      0.75       148
";"[[52 15]
 [22 59]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:57 sec
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;RandomForest;87.16;87.16;87.16;87.22;nan;nan;"              precision    recall  f1-score   support

          -1       0.86      0.89      0.87        74
           0       0.89      0.85      0.87        74

    accuracy                           0.87       148
   macro avg       0.87      0.87      0.87       148
weighted avg       0.87      0.87      0.87       148
";"[[66 11]
 [ 8 63]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:51 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;RandomForest;89.14;89.19;89.19;89.92;nan;nan;"              precision    recall  f1-score   support

          -1       0.85      0.96      0.90        74
           0       0.95      0.82      0.88        74

    accuracy                           0.89       148
   macro avg       0.90      0.89      0.89       148
weighted avg       0.90      0.89      0.89       148
";"[[71 13]
 [ 3 61]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:51 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;SVM;71.57;71.62;71.62;71.76;nan;nan;"              precision    recall  f1-score   support

          -1       0.74      0.68      0.70        74
           0       0.70      0.76      0.73        74

    accuracy                           0.72       148
   macro avg       0.72      0.72      0.72       148
weighted avg       0.72      0.72      0.72       148
";"[[50 18]
 [24 56]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:59 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;SVM;75.64;75.68;75.68;75.85;nan;nan;"              precision    recall  f1-score   support

          -1       0.78      0.72      0.75        74
           0       0.74      0.80      0.77        74

    accuracy                           0.76       148
   macro avg       0.76      0.76      0.76       148
weighted avg       0.76      0.76      0.76       148
";"[[53 15]
 [21 59]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:59 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;RandomForest;90.52;90.54;90.54;90.81;nan;nan;"              precision    recall  f1-score   support

          -1       0.88      0.95      0.91        74
           0       0.94      0.86      0.90        74

    accuracy                           0.91       148
   macro avg       0.91      0.91      0.91       148
weighted avg       0.91      0.91      0.91       148
";"[[70 10]
 [ 4 64]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:54 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;RandomForest;90.53;90.54;90.54;90.66;nan;nan;"              precision    recall  f1-score   support

          -1       0.88      0.93      0.91        74
           0       0.93      0.88      0.90        74

    accuracy                           0.91       148
   macro avg       0.91      0.91      0.91       148
weighted avg       0.91      0.91      0.91       148
";"[[69  9]
 [ 5 65]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:53 sec
WordPhonemeFreq@0011@All;1;1;1;0;0;1;1;0;SVM;71.57;71.62;71.62;71.76;nan;nan;"              precision    recall  f1-score   support

          -1       0.74      0.68      0.70        74
           0       0.70      0.76      0.73        74

    accuracy                           0.72       148
   macro avg       0.72      0.72      0.72       148
weighted avg       0.72      0.72      0.72       148
";"[[50 18]
 [24 56]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:58 sec
WordPhonemeFreq@0011@One;1;1;1;0;0;1;1;1;SVM;74.94;75.0;75.0;75.23;nan;nan;"              precision    recall  f1-score   support

          -1       0.78      0.70      0.74        74
           0       0.73      0.80      0.76        74

    accuracy                           0.75       148
   macro avg       0.75      0.75      0.75       148
weighted avg       0.75      0.75      0.75       148
";"[[52 15]
 [22 59]]";"Sample train:[(-1, 732), (0, 318)]
RandomOverSampler train:[(-1, 732), (0, 732)]";;0 hour:0 min:57 sec
