model_name;word;phoneme;freq_phoneme;valence;arousal;dominance;sum_vad;first_syllable;classifier;f1;accuracy;recall;precision;log_loss;cross_entropy;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;SVM;71.98;72.2;72.2;72.93;1.16;0.85;"              precision    recall  f1-score   support

           0       0.63      0.78      0.70        40
           1       0.71      0.55      0.62        40

    accuracy                           0.66        80
   macro avg       0.67      0.66      0.66        80
weighted avg       0.67      0.66      0.66        80
";"[[31 18]
 [ 9 22]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;SVM;71.59;71.88;71.88;72.75;1.2;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:53 sec
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;RandomForest;74.59;74.72;74.72;75.19;0.96;0.77;"              precision    recall  f1-score   support

           0       0.74      0.88      0.80        40
           1       0.85      0.70      0.77        40

    accuracy                           0.79        80
   macro avg       0.80      0.79      0.79        80
weighted avg       0.80      0.79      0.79        80
";"[[35 12]
 [ 5 28]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:46 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;RandomForest;74.17;74.28;74.28;74.69;0.97;0.78;"              precision    recall  f1-score   support

           0       0.74      0.85      0.79        40
           1       0.82      0.70      0.76        40

    accuracy                           0.78        80
   macro avg       0.78      0.77      0.77        80
weighted avg       0.78      0.78      0.77        80
";"[[34 12]
 [ 6 28]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:45 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;SVM;71.69;71.95;71.95;72.83;1.15;0.85;"              precision    recall  f1-score   support

           0       0.65      0.80      0.72        40
           1       0.74      0.57      0.65        40

    accuracy                           0.69        80
   macro avg       0.70      0.69      0.68        80
weighted avg       0.70      0.69      0.68        80
";"[[32 17]
 [ 8 23]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:54 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;SVM;71.67;72.0;72.0;73.05;1.19;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:51 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;RandomForest;74.63;74.75;74.75;75.2;0.96;0.78;"              precision    recall  f1-score   support

           0       0.73      0.88      0.80        40
           1       0.84      0.68      0.75        40

    accuracy                           0.78        80
   macro avg       0.79      0.78      0.77        80
weighted avg       0.79      0.78      0.77        80
";"[[35 13]
 [ 5 27]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:45 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;RandomForest;74.73;74.82;74.82;75.24;0.96;0.78;"              precision    recall  f1-score   support

           0       0.73      0.88      0.80        40
           1       0.84      0.68      0.75        40

    accuracy                           0.78        80
   macro avg       0.79      0.78      0.77        80
weighted avg       0.79      0.78      0.77        80
";"[[35 13]
 [ 5 27]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:44 sec
WordPhonemeFreq@0011@All;1;1;1;0;0;1;1;0;SVM;71.98;72.2;72.2;72.95;1.17;0.85;"              precision    recall  f1-score   support

           0       0.63      0.78      0.70        40
           1       0.71      0.55      0.62        40

    accuracy                           0.66        80
   macro avg       0.67      0.66      0.66        80
weighted avg       0.67      0.66      0.66        80
";"[[31 18]
 [ 9 22]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0011@One;1;1;1;0;0;1;1;1;SVM;71.51;71.8;71.8;72.66;1.2;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:52 sec
WordPhonemeFreq@0011@All;1;1;1;0;0;1;1;0;RandomForest;74.83;74.92;74.92;75.33;0.96;0.77;"              precision    recall  f1-score   support

           0       0.77      0.93      0.84        40
           1       0.91      0.72      0.81        40

    accuracy                           0.82        80
   macro avg       0.84      0.82      0.82        80
weighted avg       0.84      0.82      0.82        80
";"[[37 11]
 [ 3 29]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:47 sec
WordPhonemeFreq@0011@One;1;1;1;0;0;1;1;1;RandomForest;74.57;74.65;74.65;74.95;0.97;0.78;"              precision    recall  f1-score   support

           0       0.74      0.80      0.77        40
           1       0.78      0.72      0.75        40

    accuracy                           0.76        80
   macro avg       0.76      0.76      0.76        80
weighted avg       0.76      0.76      0.76        80
";"[[32 11]
 [ 8 29]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:47 sec
WordPhonemeFreq@0100@All;1;1;1;0;1;0;0;0;SVM;71.64;71.9;71.9;72.78;1.15;0.84;"              precision    recall  f1-score   support

           0       0.65      0.80      0.72        40
           1       0.74      0.57      0.65        40

    accuracy                           0.69        80
   macro avg       0.70      0.69      0.68        80
weighted avg       0.70      0.69      0.68        80
";"[[32 17]
 [ 8 23]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:54 sec
WordPhonemeFreq@0100@One;1;1;1;0;1;0;0;1;SVM;71.49;71.82;71.82;72.88;1.18;0.84;"              precision    recall  f1-score   support

           0       0.71      0.85      0.77        40
           1       0.81      0.65      0.72        40

    accuracy                           0.75        80
   macro avg       0.76      0.75      0.75        80
weighted avg       0.76      0.75      0.75        80
";"[[34 14]
 [ 6 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:50 sec
WordPhonemeFreq@0100@All;1;1;1;0;1;0;0;0;RandomForest;74.71;74.82;74.82;75.25;0.96;0.78;"              precision    recall  f1-score   support

           0       0.72      0.82      0.77        40
           1       0.79      0.68      0.73        40

    accuracy                           0.75        80
   macro avg       0.76      0.75      0.75        80
weighted avg       0.76      0.75      0.75        80
";"[[33 13]
 [ 7 27]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:47 sec
WordPhonemeFreq@0100@One;1;1;1;0;1;0;0;1;RandomForest;74.76;74.9;74.9;75.45;0.96;0.78;"              precision    recall  f1-score   support

           0       0.71      0.90      0.79        40
           1       0.86      0.62      0.72        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[36 15]
 [ 4 25]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:44 sec
WordPhonemeFreq@0101@All;1;1;1;0;1;0;1;0;SVM;71.96;72.18;72.18;72.91;1.16;0.85;"              precision    recall  f1-score   support

           0       0.63      0.78      0.70        40
           1       0.71      0.55      0.62        40

    accuracy                           0.66        80
   macro avg       0.67      0.66      0.66        80
weighted avg       0.67      0.66      0.66        80
";"[[31 18]
 [ 9 22]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0101@One;1;1;1;0;1;0;1;1;SVM;71.59;71.88;71.88;72.75;1.2;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:53 sec
WordPhonemeFreq@0101@All;1;1;1;0;1;0;1;0;RandomForest;73.92;74.08;74.08;74.59;0.96;0.78;"              precision    recall  f1-score   support

           0       0.76      0.85      0.80        40
           1       0.83      0.72      0.77        40

    accuracy                           0.79        80
   macro avg       0.79      0.79      0.79        80
weighted avg       0.79      0.79      0.79        80
";"[[34 11]
 [ 6 29]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:47 sec
WordPhonemeFreq@0101@One;1;1;1;0;1;0;1;1;RandomForest;74.93;75.05;75.05;75.56;0.96;0.78;"              precision    recall  f1-score   support

           0       0.71      0.80      0.75        40
           1       0.77      0.68      0.72        40

    accuracy                           0.74        80
   macro avg       0.74      0.74      0.74        80
weighted avg       0.74      0.74      0.74        80
";"[[32 13]
 [ 8 27]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:48 sec
WordPhonemeFreq@0110@All;1;1;1;0;1;1;0;0;SVM;71.7;71.95;71.95;72.81;1.15;0.85;"              precision    recall  f1-score   support

           0       0.65      0.80      0.72        40
           1       0.74      0.57      0.65        40

    accuracy                           0.69        80
   macro avg       0.70      0.69      0.68        80
weighted avg       0.70      0.69      0.68        80
";"[[32 17]
 [ 8 23]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:56 sec
WordPhonemeFreq@0110@One;1;1;1;0;1;1;0;1;SVM;71.55;71.88;71.88;72.9;1.19;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:52 sec
WordPhonemeFreq@0110@All;1;1;1;0;1;1;0;0;RandomForest;74.68;74.8;74.8;75.27;0.96;0.78;"              precision    recall  f1-score   support

           0       0.68      0.80      0.74        40
           1       0.76      0.62      0.68        40

    accuracy                           0.71        80
   macro avg       0.72      0.71      0.71        80
weighted avg       0.72      0.71      0.71        80
";"[[32 15]
 [ 8 25]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:46 sec
WordPhonemeFreq@0110@One;1;1;1;0;1;1;0;1;RandomForest;74.51;74.62;74.62;75.08;0.97;0.78;"              precision    recall  f1-score   support

           0       0.77      0.85      0.81        40
           1       0.83      0.75      0.79        40

    accuracy                           0.80        80
   macro avg       0.80      0.80      0.80        80
weighted avg       0.80      0.80      0.80        80
";"[[34 10]
 [ 6 30]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:44 sec
WordPhonemeFreq@0111@All;1;1;1;0;1;1;1;0;SVM;71.95;72.18;72.18;72.92;1.17;0.85;"              precision    recall  f1-score   support

           0       0.63      0.78      0.70        40
           1       0.71      0.55      0.62        40

    accuracy                           0.66        80
   macro avg       0.67      0.66      0.66        80
weighted avg       0.67      0.66      0.66        80
";"[[31 18]
 [ 9 22]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:53 sec
WordPhonemeFreq@0111@One;1;1;1;0;1;1;1;1;SVM;71.54;71.82;71.82;72.69;1.2;0.85;"              precision    recall  f1-score   support

           0       0.71      0.88      0.79        40
           1       0.84      0.65      0.73        40

    accuracy                           0.76        80
   macro avg       0.78      0.76      0.76        80
weighted avg       0.78      0.76      0.76        80
";"[[35 14]
 [ 5 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:51 sec
WordPhonemeFreq@0111@All;1;1;1;0;1;1;1;0;RandomForest;75.09;75.2;75.2;75.62;0.96;0.78;"              precision    recall  f1-score   support

           0       0.71      0.85      0.77        40
           1       0.81      0.65      0.72        40

    accuracy                           0.75        80
   macro avg       0.76      0.75      0.75        80
weighted avg       0.76      0.75      0.75        80
";"[[34 14]
 [ 6 26]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:44 sec
WordPhonemeFreq@0111@One;1;1;1;0;1;1;1;1;RandomForest;74.3;74.43;74.43;74.89;0.97;0.78;"              precision    recall  f1-score   support

           0       0.73      0.80      0.76        40
           1       0.78      0.70      0.74        40

    accuracy                           0.75        80
   macro avg       0.75      0.75      0.75        80
weighted avg       0.75      0.75      0.75        80
";"[[32 12]
 [ 8 28]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:1 min:44 sec
WordPhonemeFreq@1000@All;1;1;1;1;0;0;0;0;SVM;71.96;72.2;72.2;73.02;1.16;0.85;"              precision    recall  f1-score   support

           0       0.65      0.80      0.72        40
           1       0.74      0.57      0.65        40

    accuracy                           0.69        80
   macro avg       0.70      0.69      0.68        80
weighted avg       0.70      0.69      0.68        80
";"[[32 17]
 [ 8 23]]";"Sample train:[(0, 318), (1, 400)]
RandomOverSampler train:[(0, 400), (1, 400)]";;0 hour:2 min:53 sec
