model_name;word;phoneme;freq_phoneme;valence;arousal;dominance;sum_vad;first_syllable;classifier;f1;accuracy;recall;precision;log_loss;cross_entropy;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;SVM;67.7;67.6;67.6;68.1;0.76;0.12;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.62      0.59      0.61        73
           1       0.79      0.82      0.81        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[52 17  5]
 [18 43  8]
 [ 3 13 60]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:17 min:10 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;SVM;68.22;68.19;68.19;68.59;0.74;0.12;"              precision    recall  f1-score   support

          -1       0.73      0.77      0.75        73
           0       0.64      0.64      0.64        73
           1       0.77      0.73      0.75        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[56 14  7]
 [13 47 13]
 [ 4 12 53]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:16 min:57 sec
WordPhonemeFreq@0001@All;1;1;1;0;0;0;1;0;RandomForest;87.32;87.26;87.26;87.78;0.62;0.04;"              precision    recall  f1-score   support

          -1       0.86      0.92      0.89        73
           0       0.93      0.90      0.92        73
           1       0.91      0.88      0.90        73

    accuracy                           0.90       219
   macro avg       0.90      0.90      0.90       219
weighted avg       0.90      0.90      0.90       219
";"[[67  3  8]
 [ 4 66  1]
 [ 2  4 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:32 sec
WordPhonemeFreq@0001@One;1;1;1;0;0;0;1;1;RandomForest;87.36;87.31;87.31;87.79;0.62;0.04;"              precision    recall  f1-score   support

          -1       0.82      0.95      0.88        73
           0       0.98      0.89      0.94        73
           1       0.93      0.88      0.90        73

    accuracy                           0.90       219
   macro avg       0.91      0.90      0.91       219
weighted avg       0.91      0.90      0.91       219
";"[[69  6  9]
 [ 1 65  0]
 [ 3  2 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:29 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;SVM;67.32;67.22;67.22;67.77;0.76;0.12;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.60      0.56      0.58        73
           1       0.77      0.81      0.79        73

    accuracy                           0.69       219
   macro avg       0.69      0.69      0.69       219
weighted avg       0.69      0.69      0.69       219
";"[[52 17  5]
 [18 41  9]
 [ 3 15 59]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:17 min:15 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;SVM;68.11;68.06;68.06;68.46;0.74;0.11;"              precision    recall  f1-score   support

          -1       0.74      0.78      0.76        73
           0       0.65      0.66      0.65        73
           1       0.76      0.71      0.74        73

    accuracy                           0.72       219
   macro avg       0.72      0.72      0.72       219
weighted avg       0.72      0.72      0.72       219
";"[[57 13  7]
 [12 48 14]
 [ 4 12 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:16 min:56 sec
WordPhonemeFreq@0010@All;1;1;1;0;0;1;0;0;RandomForest;87.35;87.3;87.3;87.79;0.62;0.04;"              precision    recall  f1-score   support

          -1       0.82      0.90      0.86        73
           0       0.91      0.88      0.90        73
           1       0.93      0.88      0.90        73

    accuracy                           0.89       219
   macro avg       0.89      0.89      0.89       219
weighted avg       0.89      0.89      0.89       219
";"[[66  7  7]
 [ 4 64  2]
 [ 3  2 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:36 sec
WordPhonemeFreq@0010@One;1;1;1;0;0;1;0;1;RandomForest;86.93;86.86;86.86;87.4;0.62;0.04;"              precision    recall  f1-score   support

          -1       0.82      0.92      0.86        73
           0       0.97      0.89      0.93        73
           1       0.90      0.86      0.88        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.89       219
weighted avg       0.90      0.89      0.89       219
";"[[67  5 10]
 [ 2 65  0]
 [ 4  3 63]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:44 sec
WordPhonemeFreq@0011@All;1;1;1;0;0;1;1;0;SVM;67.66;67.57;67.57;68.07;0.76;0.12;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.61      0.59      0.60        73
           1       0.79      0.81      0.80        73

    accuracy                           0.70       219
   macro avg       0.70      0.70      0.70       219
weighted avg       0.70      0.70      0.70       219
";"[[52 17  5]
 [18 43  9]
 [ 3 13 59]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:17 min:8 sec
WordPhonemeFreq@0011@One;1;1;1;0;0;1;1;1;SVM;68.19;68.15;68.15;68.56;0.74;0.12;"              precision    recall  f1-score   support

          -1       0.73      0.77      0.75        73
           0       0.64      0.64      0.64        73
           1       0.77      0.73      0.75        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[56 14  7]
 [13 47 13]
 [ 4 12 53]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:16 min:58 sec
