model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;60.44;60.24;60.24;61.67;"              precision    recall  f1-score   support

          -1       0.61      0.56      0.59        73
           0       0.44      0.55      0.49        73
           1       0.71      0.60      0.65        73

    accuracy                           0.57       219
   macro avg       0.59      0.57      0.58       219
weighted avg       0.59      0.57      0.58       219
";"[[41 19  7]
 [28 40 22]
 [ 4 14 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0001@One;SVM;65.6;65.62;65.62;65.8;"              precision    recall  f1-score   support

          -1       0.68      0.70      0.69        73
           0       0.59      0.59      0.59        73
           1       0.73      0.71      0.72        73

    accuracy                           0.67       219
   macro avg       0.67      0.67      0.67       219
weighted avg       0.67      0.67      0.67       219
";"[[51 16  8]
 [17 43 13]
 [ 5 14 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:44 sec
WordPhonemeFreq@0001@All;RandomForest;86.96;86.91;86.91;87.39;"              precision    recall  f1-score   support

          -1       0.83      0.95      0.88        73
           0       0.97      0.90      0.94        73
           1       0.91      0.85      0.88        73

    accuracy                           0.90       219
   macro avg       0.90      0.90      0.90       219
weighted avg       0.90      0.90      0.90       219
";"[[69  4 10]
 [ 1 66  1]
 [ 3  3 62]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:55 sec
WordPhonemeFreq@0001@One;RandomForest;87.13;87.08;87.08;87.58;"              precision    recall  f1-score   support

          -1       0.80      0.90      0.85        73
           0       0.94      0.88      0.91        73
           1       0.91      0.86      0.89        73

    accuracy                           0.88       219
   macro avg       0.89      0.88      0.88       219
weighted avg       0.89      0.88      0.88       219
";"[[66  7  9]
 [ 3 64  1]
 [ 4  2 63]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:54 sec
WordPhonemeFreq@0010@All;SVM;60.26;60.07;60.07;61.43;"              precision    recall  f1-score   support

          -1       0.61      0.56      0.59        73
           0       0.43      0.52      0.47        73
           1       0.69      0.60      0.64        73

    accuracy                           0.56       219
   macro avg       0.58      0.56      0.57       219
weighted avg       0.58      0.56      0.57       219
";"[[41 19  7]
 [28 38 22]
 [ 4 16 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:53 sec
WordPhonemeFreq@0010@One;SVM;65.66;65.63;65.63;65.91;"              precision    recall  f1-score   support

          -1       0.68      0.71      0.70        73
           0       0.59      0.60      0.60        73
           1       0.75      0.71      0.73        73

    accuracy                           0.68       219
   macro avg       0.68      0.68      0.68       219
weighted avg       0.68      0.68      0.68       219
";"[[52 16  8]
 [17 44 13]
 [ 4 13 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:40 sec
WordPhonemeFreq@0010@All;RandomForest;87.33;87.28;87.28;87.82;"              precision    recall  f1-score   support

          -1       0.84      0.93      0.88        73
           0       0.97      0.89      0.93        73
           1       0.90      0.88      0.89        73

    accuracy                           0.90       219
   macro avg       0.90      0.90      0.90       219
weighted avg       0.90      0.90      0.90       219
";"[[68  4  9]
 [ 2 65  0]
 [ 3  4 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:55 sec
WordPhonemeFreq@0010@One;RandomForest;87.28;87.22;87.22;87.72;"              precision    recall  f1-score   support

          -1       0.83      0.93      0.88        73
           0       0.97      0.89      0.93        73
           1       0.90      0.86      0.88        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.90       219
weighted avg       0.90      0.89      0.90       219
";"[[68  5  9]
 [ 1 65  1]
 [ 4  3 63]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:56 sec
WordPhonemeFreq@0011@All;SVM;60.48;60.27;60.27;61.7;"              precision    recall  f1-score   support

          -1       0.61      0.56      0.59        73
           0       0.44      0.55      0.49        73
           1       0.71      0.60      0.65        73

    accuracy                           0.57       219
   macro avg       0.59      0.57      0.58       219
weighted avg       0.59      0.57      0.58       219
";"[[41 19  7]
 [28 40 22]
 [ 4 14 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:56 sec
WordPhonemeFreq@0011@One;SVM;65.65;65.67;65.67;65.84;"              precision    recall  f1-score   support

          -1       0.68      0.70      0.69        73
           0       0.60      0.59      0.59        73
           1       0.74      0.73      0.73        73

    accuracy                           0.67       219
   macro avg       0.67      0.67      0.67       219
weighted avg       0.67      0.67      0.67       219
";"[[51 16  8]
 [17 43 12]
 [ 5 14 53]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:42 sec
WordPhonemeFreq@0011@All;RandomForest;86.98;86.91;86.91;87.43;"              precision    recall  f1-score   support

          -1       0.84      0.90      0.87        73
           0       0.93      0.89      0.91        73
           1       0.93      0.89      0.91        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.90       219
weighted avg       0.90      0.89      0.90       219
";"[[66  7  6]
 [ 3 65  2]
 [ 4  1 65]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:52 sec
WordPhonemeFreq@0011@One;RandomForest;87.37;87.31;87.31;87.86;"              precision    recall  f1-score   support

          -1       0.87      0.93      0.90        73
           0       0.97      0.90      0.94        73
           1       0.90      0.90      0.90        73

    accuracy                           0.91       219
   macro avg       0.92      0.91      0.91       219
weighted avg       0.92      0.91      0.91       219
";"[[68  3  7]
 [ 2 66  0]
 [ 3  4 66]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:53 sec
WordPhonemeFreq@0100@All;SVM;60.3;60.11;60.11;61.44;"              precision    recall  f1-score   support

          -1       0.62      0.56      0.59        73
           0       0.43      0.52      0.47        73
           1       0.68      0.60      0.64        73

    accuracy                           0.56       219
   macro avg       0.58      0.56      0.57       219
weighted avg       0.58      0.56      0.57       219
";"[[41 19  6]
 [27 38 23]
 [ 5 16 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:3 min:2 sec
WordPhonemeFreq@0100@One;SVM;65.63;65.59;65.59;65.88;"              precision    recall  f1-score   support

          -1       0.68      0.71      0.70        73
           0       0.59      0.60      0.60        73
           1       0.75      0.71      0.73        73

    accuracy                           0.68       219
   macro avg       0.68      0.68      0.68       219
weighted avg       0.68      0.68      0.68       219
";"[[52 16  8]
 [17 44 13]
 [ 4 13 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:44 sec
WordPhonemeFreq@0100@All;RandomForest;87.27;87.21;87.21;87.7;"              precision    recall  f1-score   support

          -1       0.86      0.93      0.89        73
           0       0.97      0.90      0.94        73
           1       0.93      0.92      0.92        73

    accuracy                           0.92       219
   macro avg       0.92      0.92      0.92       219
weighted avg       0.92      0.92      0.92       219
";"[[68  5  6]
 [ 2 66  0]
 [ 3  2 67]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:1 sec
WordPhonemeFreq@0100@One;RandomForest;87.04;87.0;87.0;87.45;"              precision    recall  f1-score   support

          -1       0.83      0.92      0.87        73
           0       0.94      0.89      0.92        73
           1       0.91      0.86      0.89        73

    accuracy                           0.89       219
   macro avg       0.89      0.89      0.89       219
weighted avg       0.89      0.89      0.89       219
";"[[67  5  9]
 [ 3 65  1]
 [ 3  3 63]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:50 sec
WordPhonemeFreq@0101@All;SVM;60.37;60.16;60.16;61.61;"              precision    recall  f1-score   support

          -1       0.61      0.58      0.59        73
           0       0.44      0.53      0.48        73
           1       0.71      0.60      0.65        73

    accuracy                           0.57       219
   macro avg       0.59      0.57      0.58       219
weighted avg       0.59      0.57      0.58       219
";"[[42 20  7]
 [27 39 22]
 [ 4 14 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0101@One;SVM;65.67;65.68;65.68;65.86;"              precision    recall  f1-score   support

          -1       0.68      0.68      0.68        73
           0       0.58      0.59      0.59        73
           1       0.73      0.71      0.72        73

    accuracy                           0.66       219
   macro avg       0.66      0.66      0.66       219
weighted avg       0.66      0.66      0.66       219
";"[[50 16  8]
 [18 43 13]
 [ 5 14 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:41 sec
WordPhonemeFreq@0101@All;RandomForest;87.29;87.24;87.24;87.72;"              precision    recall  f1-score   support

          -1       0.80      0.88      0.84        73
           0       0.94      0.90      0.92        73
           1       0.91      0.86      0.89        73

    accuracy                           0.88       219
   macro avg       0.89      0.88      0.88       219
weighted avg       0.89      0.88      0.88       219
";"[[64  6 10]
 [ 4 66  0]
 [ 5  1 63]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:59 sec
WordPhonemeFreq@0101@One;RandomForest;87.32;87.27;87.27;87.68;"              precision    recall  f1-score   support

          -1       0.82      0.88      0.85        73
           0       0.92      0.89      0.90        73
           1       0.91      0.88      0.90        73

    accuracy                           0.88       219
   macro avg       0.88      0.88      0.88       219
weighted avg       0.88      0.88      0.88       219
";"[[64  5  9]
 [ 6 65  0]
 [ 3  3 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:52 sec
WordPhonemeFreq@0110@All;SVM;60.28;60.08;60.08;61.47;"              precision    recall  f1-score   support

          -1       0.62      0.56      0.59        73
           0       0.43      0.52      0.47        73
           1       0.69      0.60      0.64        73

    accuracy                           0.56       219
   macro avg       0.58      0.56      0.57       219
weighted avg       0.58      0.56      0.57       219
";"[[41 19  6]
 [28 38 23]
 [ 4 16 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:55 sec
WordPhonemeFreq@0110@One;SVM;65.66;65.64;65.64;65.92;"              precision    recall  f1-score   support

          -1       0.68      0.71      0.70        73
           0       0.59      0.60      0.60        73
           1       0.75      0.71      0.73        73

    accuracy                           0.68       219
   macro avg       0.68      0.68      0.68       219
weighted avg       0.68      0.68      0.68       219
";"[[52 16  8]
 [17 44 13]
 [ 4 13 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:42 sec
WordPhonemeFreq@0110@All;RandomForest;87.31;87.25;87.25;87.79;"              precision    recall  f1-score   support

          -1       0.84      0.95      0.89        73
           0       0.97      0.89      0.93        73
           1       0.93      0.89      0.91        73

    accuracy                           0.91       219
   macro avg       0.91      0.91      0.91       219
weighted avg       0.91      0.91      0.91       219
";"[[69  5  8]
 [ 2 65  0]
 [ 2  3 65]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:53 sec
WordPhonemeFreq@0110@One;RandomForest;87.27;87.21;87.21;87.7;"              precision    recall  f1-score   support

          -1       0.83      0.92      0.87        73
           0       0.97      0.89      0.93        73
           1       0.90      0.88      0.89        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.90       219
weighted avg       0.90      0.89      0.90       219
";"[[67  5  9]
 [ 2 65  0]
 [ 4  3 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:1 min:52 sec
