model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;53.51;53.68;53.68;54.98;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        31
           0       0.43      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  5]
 [ 9 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0001@One;SVM;55.12;55.02;55.02;55.78;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0001@All;RandomForest;52.75;52.9;52.9;53.16;"              precision    recall  f1-score   support

          -1       0.57      0.52      0.54        31
           0       0.48      0.45      0.47        31
           1       0.56      0.65      0.60        31

    accuracy                           0.54        93
   macro avg       0.54      0.54      0.54        93
weighted avg       0.54      0.54      0.54        93
";"[[16  6  6]
 [10 14  5]
 [ 5 11 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:47 sec
WordPhonemeFreq@0001@One;RandomForest;52.43;52.71;52.71;52.71;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.40      0.32      0.36        31
           1       0.62      0.65      0.63        31

    accuracy                           0.52        93
   macro avg       0.51      0.52      0.51        93
weighted avg       0.51      0.52      0.51        93
";"[[18 12  6]
 [10 10  5]
 [ 3  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@0010@All;SVM;53.42;53.58;53.58;54.92;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        31
           0       0.43      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  5]
 [ 9 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0010@One;SVM;55.43;55.31;55.31;56.17;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0010@All;RandomForest;52.8;53.02;53.02;53.04;"              precision    recall  f1-score   support

          -1       0.58      0.58      0.58        31
           0       0.52      0.48      0.50        31
           1       0.61      0.65      0.62        31

    accuracy                           0.57        93
   macro avg       0.57      0.57      0.57        93
weighted avg       0.57      0.57      0.57        93
";"[[18  7  6]
 [ 9 15  5]
 [ 4  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:46 sec
WordPhonemeFreq@0010@One;RandomForest;53.48;53.77;53.77;53.87;"              precision    recall  f1-score   support

          -1       0.43      0.42      0.43        31
           0       0.35      0.29      0.32        31
           1       0.57      0.68      0.62        31

    accuracy                           0.46        93
   macro avg       0.45      0.46      0.45        93
weighted avg       0.45      0.46      0.45        93
";"[[13 11  6]
 [13  9  4]
 [ 5 11 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:45 sec
WordPhonemeFreq@0011@All;SVM;53.53;53.71;53.71;55.01;"              precision    recall  f1-score   support

          -1       0.57      0.68      0.62        31
           0       0.43      0.48      0.45        31
           1       0.71      0.48      0.58        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.55        93
weighted avg       0.57      0.55      0.55        93
";"[[21 11  5]
 [ 9 15 11]
 [ 1  5 15]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:33 sec
WordPhonemeFreq@0011@One;SVM;55.19;55.08;55.08;55.87;"              precision    recall  f1-score   support

          -1       0.50      0.58      0.54        31
           0       0.34      0.32      0.33        31
           1       0.68      0.61      0.64        31

    accuracy                           0.51        93
   macro avg       0.51      0.51      0.50        93
weighted avg       0.51      0.51      0.50        93
";"[[18 15  3]
 [10 10  9]
 [ 3  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:1 min:30 sec
