model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;67.7;67.6;67.6;68.1;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.62      0.59      0.61        73
           1       0.79      0.82      0.81        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[52 17  5]
 [18 43  8]
 [ 3 13 60]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:55 sec
WordPhonemeFreq@0001@One;SVM;68.22;68.19;68.19;68.59;"              precision    recall  f1-score   support

          -1       0.73      0.77      0.75        73
           0       0.64      0.64      0.64        73
           1       0.77      0.73      0.75        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[56 14  7]
 [13 47 13]
 [ 4 12 53]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:51 sec
WordPhonemeFreq@0001@All;RandomForest;87.5;87.43;87.43;87.95;"              precision    recall  f1-score   support

          -1       0.83      0.96      0.89        73
           0       0.98      0.89      0.94        73
           1       0.93      0.88      0.90        73

    accuracy                           0.91       219
   macro avg       0.92      0.91      0.91       219
weighted avg       0.92      0.91      0.91       219
";"[[70  5  9]
 [ 1 65  0]
 [ 2  3 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:23 sec
WordPhonemeFreq@0001@One;RandomForest;87.4;87.34;87.34;87.84;"              precision    recall  f1-score   support

          -1       0.81      0.92      0.86        73
           0       0.96      0.89      0.92        73
           1       0.91      0.85      0.88        73

    accuracy                           0.89       219
   macro avg       0.89      0.89      0.89       219
weighted avg       0.89      0.89      0.89       219
";"[[67  6 10]
 [ 2 65  1]
 [ 4  2 62]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:25 sec
WordPhonemeFreq@0010@All;SVM;67.32;67.22;67.22;67.77;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.60      0.56      0.58        73
           1       0.77      0.81      0.79        73

    accuracy                           0.69       219
   macro avg       0.69      0.69      0.69       219
weighted avg       0.69      0.69      0.69       219
";"[[52 17  5]
 [18 41  9]
 [ 3 15 59]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:53 sec
WordPhonemeFreq@0010@One;SVM;68.11;68.06;68.06;68.46;"              precision    recall  f1-score   support

          -1       0.74      0.78      0.76        73
           0       0.65      0.66      0.65        73
           1       0.76      0.71      0.74        73

    accuracy                           0.72       219
   macro avg       0.72      0.72      0.72       219
weighted avg       0.72      0.72      0.72       219
";"[[57 13  7]
 [12 48 14]
 [ 4 12 52]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:54 sec
WordPhonemeFreq@0010@All;RandomForest;87.29;87.22;87.22;87.77;"              precision    recall  f1-score   support

          -1       0.81      0.93      0.87        73
           0       0.97      0.89      0.93        73
           1       0.91      0.85      0.88        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.89       219
weighted avg       0.90      0.89      0.89       219
";"[[68  6 10]
 [ 1 65  1]
 [ 4  2 62]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:24 sec
WordPhonemeFreq@0010@One;RandomForest;87.41;87.34;87.34;87.85;"              precision    recall  f1-score   support

          -1       0.81      0.93      0.87        73
           0       0.98      0.89      0.94        73
           1       0.90      0.85      0.87        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.89       219
weighted avg       0.90      0.89      0.89       219
";"[[68  6 10]
 [ 0 65  1]
 [ 5  2 62]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:25 sec
WordPhonemeFreq@0011@All;SVM;67.66;67.57;67.57;68.07;"              precision    recall  f1-score   support

          -1       0.70      0.71      0.71        73
           0       0.61      0.59      0.60        73
           1       0.79      0.81      0.80        73

    accuracy                           0.70       219
   macro avg       0.70      0.70      0.70       219
weighted avg       0.70      0.70      0.70       219
";"[[52 17  5]
 [18 43  9]
 [ 3 13 59]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:56 sec
WordPhonemeFreq@0011@One;SVM;68.19;68.15;68.15;68.56;"              precision    recall  f1-score   support

          -1       0.73      0.77      0.75        73
           0       0.64      0.64      0.64        73
           1       0.77      0.73      0.75        73

    accuracy                           0.71       219
   macro avg       0.71      0.71      0.71       219
weighted avg       0.71      0.71      0.71       219
";"[[56 14  7]
 [13 47 13]
 [ 4 12 53]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:4 min:51 sec
WordPhonemeFreq@0011@All;RandomForest;87.37;87.31;87.31;87.83;"              precision    recall  f1-score   support

          -1       0.83      0.92      0.87        73
           0       0.94      0.89      0.92        73
           1       0.93      0.88      0.90        73

    accuracy                           0.89       219
   macro avg       0.90      0.89      0.90       219
weighted avg       0.90      0.89      0.90       219
";"[[67  5  9]
 [ 4 65  0]
 [ 2  3 64]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:24 sec
WordPhonemeFreq@0011@One;RandomForest;87.23;87.17;87.17;87.69;"              precision    recall  f1-score   support

          -1       0.84      0.90      0.87        73
           0       0.94      0.89      0.92        73
           1       0.93      0.90      0.92        73

    accuracy                           0.90       219
   macro avg       0.90      0.90      0.90       219
weighted avg       0.90      0.90      0.90       219
";"[[66  6  7]
 [ 4 65  0]
 [ 3  2 66]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";;0 hour:2 min:21 sec
