model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;46.09;46.51;46.51;46.45;"              precision    recall  f1-score   support

          -1       0.33      0.39      0.36        44
           0       0.36      0.32      0.34        44
           1       0.45      0.43      0.44        44

    accuracy                           0.38       132
   macro avg       0.38      0.38      0.38       132
weighted avg       0.38      0.38      0.38       132
";"[[17 18 16]
 [16 14  9]
 [11 12 19]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:15 min:29 sec
WordPhonemeFreq@0001@One;SVM;44.47;44.68;44.68;44.69;"              precision    recall  f1-score   support

          -1       0.42      0.39      0.40        44
           0       0.40      0.48      0.44        44
           1       0.42      0.39      0.40        44

    accuracy                           0.42       132
   macro avg       0.42      0.42      0.42       132
weighted avg       0.42      0.42      0.42       132
";"[[17  9 14]
 [18 21 13]
 [ 9 14 17]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:24 min:41 sec
WordPhonemeFreq@0001@All;RandomForest;55.06;55.18;55.18;55.27;"              precision    recall  f1-score   support

          -1       0.36      0.36      0.36        44
           0       0.54      0.57      0.56        44
           1       0.54      0.50      0.52        44

    accuracy                           0.48       132
   macro avg       0.48      0.48      0.48       132
weighted avg       0.48      0.48      0.48       132
";"[[16 14 15]
 [14 25  7]
 [14  5 22]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:14 min:12 sec
WordPhonemeFreq@0001@One;RandomForest;56.61;56.7;56.7;56.98;"              precision    recall  f1-score   support

          -1       0.45      0.43      0.44        44
           0       0.58      0.64      0.61        44
           1       0.57      0.55      0.56        44

    accuracy                           0.54       132
   macro avg       0.54      0.54      0.54       132
weighted avg       0.54      0.54      0.54       132
";"[[19  9 14]
 [14 28  6]
 [11  7 24]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:24 min:14 sec
WordPhonemeFreq@0010@All;SVM;45.38;45.64;45.64;45.76;"              precision    recall  f1-score   support

          -1       0.30      0.39      0.34        44
           0       0.38      0.34      0.36        44
           1       0.43      0.36      0.40        44

    accuracy                           0.36       132
   macro avg       0.37      0.36      0.37       132
weighted avg       0.37      0.36      0.37       132
";"[[17 20 19]
 [15 15  9]
 [12  9 16]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:15 min:16 sec
WordPhonemeFreq@0010@One;SVM;42.53;42.77;42.77;42.75;"              precision    recall  f1-score   support

          -1       0.33      0.30      0.31        44
           0       0.45      0.50      0.47        44
           1       0.39      0.39      0.39        44

    accuracy                           0.39       132
   macro avg       0.39      0.39      0.39       132
weighted avg       0.39      0.39      0.39       132
";"[[13 10 16]
 [16 22 11]
 [15 12 17]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:24 min:26 sec
WordPhonemeFreq@0010@All;RandomForest;54.76;54.85;54.85;55.07;"              precision    recall  f1-score   support

          -1       0.37      0.34      0.35        44
           0       0.49      0.55      0.52        44
           1       0.55      0.52      0.53        44

    accuracy                           0.47       132
   macro avg       0.47      0.47      0.47       132
weighted avg       0.47      0.47      0.47       132
";"[[15 12 14]
 [18 24  7]
 [11  8 23]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:18 min:18 sec
WordPhonemeFreq@0010@One;RandomForest;55.5;55.57;55.57;55.84;"              precision    recall  f1-score   support

          -1       0.45      0.41      0.43        44
           0       0.59      0.68      0.63        44
           1       0.59      0.55      0.56        44

    accuracy                           0.55       132
   macro avg       0.54      0.55      0.54       132
weighted avg       0.54      0.55      0.54       132
";"[[18  9 13]
 [14 30  7]
 [12  5 24]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:26 min:6 sec
WordPhonemeFreq@0011@All;SVM;46.09;46.51;46.51;46.44;"              precision    recall  f1-score   support

          -1       0.33      0.39      0.36        44
           0       0.36      0.32      0.34        44
           1       0.45      0.43      0.44        44

    accuracy                           0.38       132
   macro avg       0.38      0.38      0.38       132
weighted avg       0.38      0.38      0.38       132
";"[[17 18 16]
 [16 14  9]
 [11 12 19]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:17 min:0 sec
WordPhonemeFreq@0011@One;SVM;44.59;44.82;44.82;44.8;"              precision    recall  f1-score   support

          -1       0.42      0.39      0.40        44
           0       0.39      0.45      0.42        44
           1       0.44      0.41      0.42        44

    accuracy                           0.42       132
   macro avg       0.42      0.42      0.42       132
weighted avg       0.42      0.42      0.42       132
";"[[17 10 13]
 [18 20 13]
 [ 9 14 18]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:27 min:50 sec
WordPhonemeFreq@0011@All;RandomForest;55.51;55.69;55.69;55.76;"              precision    recall  f1-score   support

          -1       0.35      0.32      0.33        44
           0       0.54      0.59      0.57        44
           1       0.55      0.55      0.55        44

    accuracy                           0.48       132
   macro avg       0.48      0.48      0.48       132
weighted avg       0.48      0.48      0.48       132
";"[[14 12 14]
 [16 26  6]
 [14  6 24]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;2 hour:16 min:7 sec
WordPhonemeFreq@0011@One;RandomForest;57.26;57.35;57.35;57.68;"              precision    recall  f1-score   support

          -1       0.43      0.41      0.42        44
           0       0.61      0.64      0.62        44
           1       0.55      0.55      0.55        44

    accuracy                           0.53       132
   macro avg       0.53      0.53      0.53       132
weighted avg       0.53      0.53      0.53       132
";"[[18 10 14]
 [12 28  6]
 [14  6 24]]";"Sample train:[(-1, 447), (0, 332), (1, 378)]
RandomOverSampler train:[(-1, 447), (0, 447), (1, 447)]";;1 hour:28 min:0 sec
