model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;56.31;56.39;56.39;57.16;"              precision    recall  f1-score   support

          -1       0.59      0.71      0.65        31
           0       0.45      0.42      0.43        31
           1       0.70      0.61      0.66        31

    accuracy                           0.58        93
   macro avg       0.58      0.58      0.58        93
weighted avg       0.58      0.58      0.58        93
";"[[22 12  3]
 [ 7 13  9]
 [ 2  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:36 sec
WordPhonemeFreq@0001@One;SVM;56.4;56.19;56.19;57.28;"              precision    recall  f1-score   support

          -1       0.55      0.55      0.55        31
           0       0.41      0.48      0.44        31
           1       0.76      0.61      0.68        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.56        93
weighted avg       0.57      0.55      0.56        93
";"[[17 11  3]
 [13 15  9]
 [ 1  5 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:28 sec
WordPhonemeFreq@0001@All;RandomForest;52.27;52.57;52.57;52.51;"              precision    recall  f1-score   support

          -1       0.50      0.48      0.49        31
           0       0.38      0.35      0.37        31
           1       0.62      0.68      0.65        31

    accuracy                           0.51        93
   macro avg       0.50      0.51      0.50        93
weighted avg       0.50      0.51      0.50        93
";"[[15 10  5]
 [13 11  5]
 [ 3 10 21]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:19 sec
WordPhonemeFreq@0001@One;RandomForest;53.58;53.77;53.77;53.92;"              precision    recall  f1-score   support

          -1       0.51      0.61      0.56        31
           0       0.40      0.32      0.36        31
           1       0.61      0.61      0.61        31

    accuracy                           0.52        93
   macro avg       0.51      0.52      0.51        93
weighted avg       0.51      0.52      0.51        93
";"[[19 12  6]
 [ 9 10  6]
 [ 3  9 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:21 sec
WordPhonemeFreq@0010@All;SVM;55.97;56.05;56.05;56.84;"              precision    recall  f1-score   support

          -1       0.59      0.71      0.65        31
           0       0.45      0.42      0.43        31
           1       0.70      0.61      0.66        31

    accuracy                           0.58        93
   macro avg       0.58      0.58      0.58        93
weighted avg       0.58      0.58      0.58        93
";"[[22 12  3]
 [ 7 13  9]
 [ 2  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:28 sec
WordPhonemeFreq@0010@One;SVM;56.37;56.15;56.15;57.27;"              precision    recall  f1-score   support

          -1       0.56      0.58      0.57        31
           0       0.42      0.48      0.45        31
           1       0.76      0.61      0.68        31

    accuracy                           0.56        93
   macro avg       0.58      0.56      0.57        93
weighted avg       0.58      0.56      0.57        93
";"[[18 11  3]
 [12 15  9]
 [ 1  5 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:24 sec
WordPhonemeFreq@0010@All;RandomForest;53.55;53.72;53.72;53.96;"              precision    recall  f1-score   support

          -1       0.50      0.52      0.51        31
           0       0.29      0.29      0.29        31
           1       0.63      0.61      0.62        31

    accuracy                           0.47        93
   macro avg       0.47      0.47      0.47        93
weighted avg       0.47      0.47      0.47        93
";"[[16 13  3]
 [13  9  9]
 [ 2  9 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:22 sec
WordPhonemeFreq@0010@One;RandomForest;53.97;54.19;54.19;54.26;"              precision    recall  f1-score   support

          -1       0.43      0.48      0.45        31
           0       0.30      0.26      0.28        31
           1       0.61      0.61      0.61        31

    accuracy                           0.45        93
   macro avg       0.45      0.45      0.45        93
weighted avg       0.45      0.45      0.45        93
";"[[15 14  6]
 [13  8  6]
 [ 3  9 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:18 sec
WordPhonemeFreq@0011@All;SVM;56.36;56.43;56.43;57.19;"              precision    recall  f1-score   support

          -1       0.59      0.71      0.65        31
           0       0.45      0.42      0.43        31
           1       0.70      0.61      0.66        31

    accuracy                           0.58        93
   macro avg       0.58      0.58      0.58        93
weighted avg       0.58      0.58      0.58        93
";"[[22 12  3]
 [ 7 13  9]
 [ 2  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:25 sec
WordPhonemeFreq@0011@One;SVM;56.37;56.17;56.17;57.26;"              precision    recall  f1-score   support

          -1       0.55      0.55      0.55        31
           0       0.41      0.48      0.44        31
           1       0.76      0.61      0.68        31

    accuracy                           0.55        93
   macro avg       0.57      0.55      0.56        93
weighted avg       0.57      0.55      0.56        93
";"[[17 11  3]
 [13 15  9]
 [ 1  5 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:28 sec
WordPhonemeFreq@0011@All;RandomForest;52.94;53.18;53.18;53.18;"              precision    recall  f1-score   support

          -1       0.56      0.61      0.58        31
           0       0.38      0.32      0.35        31
           1       0.55      0.58      0.56        31

    accuracy                           0.51        93
   macro avg       0.50      0.51      0.50        93
weighted avg       0.50      0.51      0.50        93
";"[[19 10  5]
 [ 8 10  8]
 [ 4 11 18]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:19 sec
WordPhonemeFreq@0011@One;RandomForest;52.66;52.92;52.92;52.92;"              precision    recall  f1-score   support

          -1       0.58      0.61      0.59        31
           0       0.50      0.39      0.44        31
           1       0.56      0.65      0.60        31

    accuracy                           0.55        93
   macro avg       0.54      0.55      0.54        93
weighted avg       0.54      0.55      0.54        93
";"[[19  9  5]
 [ 6 12  6]
 [ 6 10 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:19 sec
WordPhonemeFreq@0100@All;SVM;55.99;56.05;56.05;56.84;"              precision    recall  f1-score   support

          -1       0.59      0.71      0.65        31
           0       0.45      0.42      0.43        31
           1       0.70      0.61      0.66        31

    accuracy                           0.58        93
   macro avg       0.58      0.58      0.58        93
weighted avg       0.58      0.58      0.58        93
";"[[22 12  3]
 [ 7 13  9]
 [ 2  6 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:28 sec
WordPhonemeFreq@0100@One;SVM;56.47;56.26;56.26;57.43;"              precision    recall  f1-score   support

          -1       0.56      0.58      0.57        31
           0       0.42      0.48      0.45        31
           1       0.76      0.61      0.68        31

    accuracy                           0.56        93
   macro avg       0.58      0.56      0.57        93
weighted avg       0.58      0.56      0.57        93
";"[[18 11  3]
 [12 15  9]
 [ 1  5 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:25 sec
WordPhonemeFreq@0100@All;RandomForest;53.56;53.75;53.75;53.99;"              precision    recall  f1-score   support

          -1       0.56      0.65      0.60        31
           0       0.48      0.42      0.45        31
           1       0.63      0.61      0.62        31

    accuracy                           0.56        93
   macro avg       0.56      0.56      0.56        93
weighted avg       0.56      0.56      0.56        93
";"[[20 10  6]
 [ 8 13  6]
 [ 3  8 19]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:15 sec
WordPhonemeFreq@0100@One;RandomForest;53.03;53.28;53.28;53.28;"              precision    recall  f1-score   support

          -1       0.52      0.52      0.52        31
           0       0.43      0.39      0.41        31
           1       0.59      0.65      0.62        31

    accuracy                           0.52        93
   macro avg       0.51      0.52      0.51        93
weighted avg       0.51      0.52      0.51        93
";"[[16 10  5]
 [10 12  6]
 [ 5  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";;0 hour:2 min:24 sec
