model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;60.78;60.56;60.56;62.33;"              precision    recall  f1-score   support

          -1       0.51      0.72      0.59        95
           0       0.47      0.46      0.47        95
           1       0.77      0.46      0.58        95

    accuracy                           0.55       285
   macro avg       0.58      0.55      0.55       285
weighted avg       0.58      0.55      0.55       285
";"[[68 44 22]
 [21 44 29]
 [ 6  7 44]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:4 min:58 sec
WordPhonemeFreq@0001@One;SVM;66.49;66.53;66.53;66.84;"              precision    recall  f1-score   support

          -1       0.52      0.65      0.58        95
           0       0.48      0.42      0.45        95
           1       0.68      0.59      0.63        95

    accuracy                           0.55       285
   macro avg       0.56      0.55      0.55       285
weighted avg       0.56      0.55      0.55       285
";"[[62 44 13]
 [18 40 26]
 [15 11 56]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:4 min:24 sec
WordPhonemeFreq@0001@All;RandomForest;87.8;87.85;88.14;88.72;"              precision    recall  f1-score   support

          -1       0.40      0.87      0.55        95
           0       0.56      0.09      0.16        95
           1       0.73      0.49      0.59        95

    accuracy                           0.49       285
   macro avg       0.57      0.49      0.44       285
weighted avg       0.57      0.49      0.44       285
";"[[83 78 44]
 [ 3  9  4]
 [ 9  8 47]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:3 min:9 sec
WordPhonemeFreq@0001@One;RandomForest;87.78;88.11;87.95;88.82;"              precision    recall  f1-score   support

          -1       0.41      0.91      0.57        95
           0       0.53      0.08      0.15        95
           1       0.76      0.49      0.60        95

    accuracy                           0.49       285
   macro avg       0.57      0.49      0.44       285
weighted avg       0.57      0.49      0.44       285
";"[[86 78 44]
 [ 3  8  4]
 [ 6  9 47]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:3 min:12 sec
WordPhonemeFreq@0001@All;LogisticRegression;63.34;63.47;63.47;63.73;"              precision    recall  f1-score   support

          -1       0.51      0.74      0.60        95
           0       0.49      0.36      0.41        95
           1       0.68      0.57      0.62        95

    accuracy                           0.55       285
   macro avg       0.56      0.55      0.55       285
weighted avg       0.56      0.55      0.55       285
";"[[70 45 22]
 [16 34 19]
 [ 9 16 54]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:2 min:7 sec
WordPhonemeFreq@0001@One;LogisticRegression;68.45;68.58;68.58;68.72;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.54      0.48      0.51        95
           1       0.68      0.59      0.63        95

    accuracy                           0.58       285
   macro avg       0.59      0.58      0.58       285
weighted avg       0.59      0.58      0.58       285
";"[[64 38 16]
 [16 46 23]
 [15 11 56]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:2 min:2 sec
WordPhonemeFreq@0010@All;SVM;60.52;60.33;60.33;61.99;"              precision    recall  f1-score   support

          -1       0.50      0.73      0.59        95
           0       0.42      0.37      0.39        95
           1       0.72      0.48      0.58        95

    accuracy                           0.53       285
   macro avg       0.55      0.53      0.52       285
weighted avg       0.55      0.53      0.52       285
";"[[69 47 22]
 [21 35 27]
 [ 5 13 46]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:4 min:49 sec
WordPhonemeFreq@0010@One;SVM;66.54;66.58;66.58;66.93;"              precision    recall  f1-score   support

          -1       0.57      0.66      0.61        95
           0       0.47      0.42      0.44        95
           1       0.64      0.59      0.61        95

    accuracy                           0.56       285
   macro avg       0.56      0.56      0.56       285
weighted avg       0.56      0.56      0.56       285
";"[[63 38 10]
 [17 40 29]
 [15 17 56]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:4 min:22 sec
WordPhonemeFreq@0010@All;RandomForest;88.05;87.94;88.1;89.09;"              precision    recall  f1-score   support

          -1       0.41      0.87      0.56        95
           0       0.75      0.19      0.30        95
           1       0.80      0.49      0.61        95

    accuracy                           0.52       285
   macro avg       0.65      0.52      0.49       285
weighted avg       0.65      0.52      0.49       285
";"[[83 75 44]
 [ 2 18  4]
 [10  2 47]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:3 min:10 sec
WordPhonemeFreq@0010@One;RandomForest;88.04;88.15;87.99;88.9;"              precision    recall  f1-score   support

          -1       0.42      0.87      0.57        95
           0       0.70      0.22      0.34        95
           1       0.83      0.51      0.63        95

    accuracy                           0.53       285
   macro avg       0.65      0.53      0.51       285
weighted avg       0.65      0.53      0.51       285
";"[[83 70 44]
 [ 6 21  3]
 [ 6  4 48]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomOverSampler train:[(-1, 732), (0, 732), (1, 732)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomOverSampler test:[(-1, 95), (0, 95), (1, 95)]";0 hour:3 min:10 sec
