model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;52.74;53.04;53.04;54.13;"              precision    recall  f1-score   support

          -1       0.48      0.61      0.54        41
           0       0.50      0.46      0.48        41
           1       0.61      0.49      0.54        41

    accuracy                           0.52       123
   macro avg       0.53      0.52      0.52       123
weighted avg       0.53      0.52      0.52       123
";"[[25 14 13]
 [11 19  8]
 [ 5  8 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:1 min:42 sec
WordPhonemeFreq@0001@One;SVM;54.84;55.03;55.03;55.76;"              precision    recall  f1-score   support

          -1       0.54      0.61      0.57        41
           0       0.46      0.54      0.49        41
           1       0.79      0.56      0.66        41

    accuracy                           0.57       123
   macro avg       0.60      0.57      0.58       123
weighted avg       0.60      0.57      0.58       123
";"[[25 15  6]
 [14 22 12]
 [ 2  4 23]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:1 min:46 sec
WordPhonemeFreq@0001@All;RandomForest;52.87;53.12;52.35;53.54;"              precision    recall  f1-score   support

          -1       0.44      0.51      0.47        41
           0       0.37      0.34      0.35        41
           1       0.62      0.56      0.59        41

    accuracy                           0.47       123
   macro avg       0.48      0.47      0.47       123
weighted avg       0.48      0.47      0.47       123
";"[[21 19  8]
 [14 14 10]
 [ 6  8 23]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:21 sec
WordPhonemeFreq@0001@One;RandomForest;53.62;53.29;53.51;53.22;"              precision    recall  f1-score   support

          -1       0.50      0.56      0.53        41
           0       0.42      0.41      0.42        41
           1       0.68      0.61      0.64        41

    accuracy                           0.53       123
   macro avg       0.53      0.53      0.53       123
weighted avg       0.53      0.53      0.53       123
";"[[23 17  6]
 [13 17 10]
 [ 5  7 25]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:15 sec
WordPhonemeFreq@0001@All;LogisticRegression;54.51;55.25;55.25;55.09;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        41
           0       0.53      0.39      0.45        41
           1       0.60      0.61      0.60        41

    accuracy                           0.54       123
   macro avg       0.55      0.54      0.54       123
weighted avg       0.55      0.54      0.54       123
";"[[26 15 10]
 [ 8 16  6]
 [ 7 10 25]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:1 min:58 sec
WordPhonemeFreq@0001@One;LogisticRegression;56.93;57.55;57.55;57.06;"              precision    recall  f1-score   support

          -1       0.56      0.66      0.61        41
           0       0.53      0.46      0.49        41
           1       0.62      0.59      0.60        41

    accuracy                           0.57       123
   macro avg       0.57      0.57      0.57       123
weighted avg       0.57      0.57      0.57       123
";"[[27 15  6]
 [ 6 19 11]
 [ 8  7 24]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:2 sec
WordPhonemeFreq@0010@All;SVM;52.96;53.15;53.15;54.26;"              precision    recall  f1-score   support

          -1       0.46      0.59      0.52        41
           0       0.46      0.41      0.44        41
           1       0.59      0.49      0.53        41

    accuracy                           0.50       123
   macro avg       0.50      0.50      0.50       123
weighted avg       0.50      0.50      0.50       123
";"[[24 15 13]
 [12 17  8]
 [ 5  9 20]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:1 min:40 sec
WordPhonemeFreq@0010@One;SVM;55.08;55.03;55.03;56.0;"              precision    recall  f1-score   support

          -1       0.54      0.61      0.57        41
           0       0.44      0.46      0.45        41
           1       0.65      0.54      0.59        41

    accuracy                           0.54       123
   macro avg       0.54      0.54      0.54       123
weighted avg       0.54      0.54      0.54       123
";"[[25 15  6]
 [11 19 13]
 [ 5  7 22]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:7 sec
WordPhonemeFreq@0010@All;RandomForest;52.32;52.84;53.49;52.38;"              precision    recall  f1-score   support

          -1       0.46      0.63      0.54        41
           0       0.48      0.39      0.43        41
           1       0.68      0.56      0.61        41

    accuracy                           0.53       123
   macro avg       0.54      0.53      0.53       123
weighted avg       0.54      0.53      0.53       123
";"[[26 20 10]
 [ 9 16  8]
 [ 6  5 23]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:39 sec
WordPhonemeFreq@0010@One;RandomForest;52.36;53.86;53.83;53.97;"              precision    recall  f1-score   support

          -1       0.52      0.71      0.60        41
           0       0.55      0.41      0.47        41
           1       0.72      0.63      0.68        41

    accuracy                           0.59       123
   macro avg       0.60      0.59      0.58       123
weighted avg       0.60      0.59      0.58       123
";"[[29 20  7]
 [ 6 17  8]
 [ 6  4 26]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:19 sec
