model_name;classifier;f1;accuracy;recall;precision;classification;confusion;time_processing
WordPhonemeFreq@0001@All;SVM;67.8;67.71;67.71;68.35;"              precision    recall  f1-score   support

          -1       0.55      0.66      0.60        95
           0       0.54      0.56      0.55        95
           1       0.79      0.60      0.68        95

    accuracy                           0.61       285
   macro avg       0.63      0.61      0.61       285
weighted avg       0.63      0.61      0.61       285
";"[[63 34 18]
 [25 53 20]
 [ 7  8 57]]";0 hour:5 min:29 sec
WordPhonemeFreq@0001@All;RandomForest;88.31;88.11;88.09;89.14;"              precision    recall  f1-score   support

          -1       0.43      0.91      0.58        95
           0       0.50      0.12      0.19        95
           1       0.73      0.48      0.58        95

    accuracy                           0.50       285
   macro avg       0.55      0.50      0.45       285
weighted avg       0.55      0.50      0.45       285
";"[[86 74 40]
 [ 2 11  9]
 [ 7 10 46]]";0 hour:3 min:29 sec
WordPhonemeFreq@0001@All;LogisticRegression;69.13;69.22;69.22;69.37;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.51      0.49      0.50        95
           1       0.77      0.60      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[64 40 15]
 [22 47 23]
 [ 9  8 57]]";0 hour:3 min:35 sec
WordPhonemeFreq@0010@All;SVM;68.01;67.9;67.9;68.59;"              precision    recall  f1-score   support

          -1       0.52      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 38 18]
 [27 49 21]
 [ 8  8 56]]";0 hour:5 min:20 sec
WordPhonemeFreq@0010@All;RandomForest;88.41;88.38;88.26;89.05;"              precision    recall  f1-score   support

          -1       0.41      0.92      0.56        95
           0       0.64      0.07      0.13        95
           1       0.74      0.47      0.58        95

    accuracy                           0.49       285
   macro avg       0.59      0.49      0.42       285
weighted avg       0.59      0.49      0.42       285
";"[[87 79 47]
 [ 1  7  3]
 [ 7  9 45]]";0 hour:3 min:48 sec
WordPhonemeFreq@0010@All;LogisticRegression;69.83;69.91;69.91;70.1;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:3 min:36 sec
WordPhonemeFreq@0011@All;SVM;67.92;67.8;67.8;68.5;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [26 49 21]
 [ 9  7 56]]";0 hour:5 min:13 sec
WordPhonemeFreq@0011@All;RandomForest;88.07;88.25;88.0;89.23;"              precision    recall  f1-score   support

          -1       0.43      0.93      0.58        95
           0       0.45      0.09      0.16        95
           1       0.79      0.48      0.60        95

    accuracy                           0.50       285
   macro avg       0.56      0.50      0.45       285
weighted avg       0.56      0.50      0.45       285
";"[[88 80 39]
 [ 1  9 10]
 [ 6  6 46]]";0 hour:3 min:23 sec
WordPhonemeFreq@0011@All;LogisticRegression;69.81;69.86;69.86;70.08;"              precision    recall  f1-score   support

          -1       0.54      0.66      0.59        95
           0       0.53      0.52      0.52        95
           1       0.79      0.62      0.69        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[63 38 16]
 [24 49 20]
 [ 8  8 59]]";0 hour:3 min:17 sec
WordPhonemeFreq@0100@All;SVM;67.87;67.76;67.76;68.43;"              precision    recall  f1-score   support

          -1       0.52      0.65      0.58        95
           0       0.52      0.52      0.52        95
           1       0.78      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[62 39 18]
 [24 49 21]
 [ 9  7 56]]";0 hour:5 min:11 sec
WordPhonemeFreq@0100@All;RandomForest;88.13;87.98;88.0;89.0;"              precision    recall  f1-score   support

          -1       0.43      0.91      0.58        95
           0       0.80      0.13      0.22        95
           1       0.68      0.48      0.56        95

    accuracy                           0.51       285
   macro avg       0.63      0.51      0.45       285
weighted avg       0.63      0.51      0.45       285
";"[[86 69 47]
 [ 1 12  2]
 [ 8 14 46]]";0 hour:3 min:50 sec
WordPhonemeFreq@0100@All;LogisticRegression;69.66;69.72;69.72;69.91;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.52      0.52      0.52        95
           1       0.78      0.60      0.68        95

    accuracy                           0.60       285
   macro avg       0.61      0.60      0.60       285
weighted avg       0.61      0.60      0.60       285
";"[[64 38 16]
 [23 49 22]
 [ 8  8 57]]";0 hour:3 min:48 sec
