model_name;classifier;f1;accuracy;recall;precision;classification;confusion;time_processing
WordPhonemeFreq@0001@One;SVM;67.8;67.72;67.72;68.31;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.53      0.53      0.53        95
           1       0.79      0.60      0.68        95

    accuracy                           0.60       285
   macro avg       0.62      0.60      0.60       285
weighted avg       0.62      0.60      0.60       285
";"[[64 37 18]
 [24 50 20]
 [ 7  8 57]]";0 hour:5 min:12 sec
WordPhonemeFreq@0001@One;RandomForest;88.06;88.14;87.99;88.76;"              precision    recall  f1-score   support

          -1       0.42      0.91      0.58        95
           0       0.50      0.09      0.16        95
           1       0.77      0.52      0.62        95

    accuracy                           0.51       285
   macro avg       0.56      0.51      0.45       285
weighted avg       0.56      0.51      0.45       285
";"[[86 79 38]
 [ 1  9  8]
 [ 8  7 49]]";0 hour:3 min:29 sec
WordPhonemeFreq@0001@One;LogisticRegression;69.04;69.13;69.13;69.28;"              precision    recall  f1-score   support

          -1       0.54      0.67      0.60        95
           0       0.51      0.49      0.50        95
           1       0.77      0.60      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[64 40 15]
 [22 47 23]
 [ 9  8 57]]";0 hour:2 min:59 sec
WordPhonemeFreq@0010@One;SVM;68.17;68.08;68.08;68.77;"              precision    recall  f1-score   support

          -1       0.52      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.78      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 38 18]
 [27 49 21]
 [ 8  8 56]]";0 hour:5 min:3 sec
WordPhonemeFreq@0010@One;RandomForest;88.5;88.24;88.31;89.28;"              precision    recall  f1-score   support

          -1       0.42      0.91      0.57        95
           0       0.62      0.14      0.22        95
           1       0.81      0.51      0.62        95

    accuracy                           0.52       285
   macro avg       0.62      0.52      0.47       285
weighted avg       0.62      0.52      0.47       285
";"[[86 78 41]
 [ 2 13  6]
 [ 7  4 48]]";0 hour:3 min:12 sec
WordPhonemeFreq@0010@One;LogisticRegression;69.97;70.04;70.04;70.24;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:3 min:13 sec
WordPhonemeFreq@0011@One;SVM;68.1;67.99;67.99;68.65;"              precision    recall  f1-score   support

          -1       0.51      0.63      0.57        95
           0       0.51      0.52      0.51        95
           1       0.79      0.59      0.67        95

    accuracy                           0.58       285
   macro avg       0.60      0.58      0.58       285
weighted avg       0.60      0.58      0.58       285
";"[[60 39 18]
 [27 49 21]
 [ 8  7 56]]";0 hour:4 min:48 sec
WordPhonemeFreq@0011@One;RandomForest;88.05;88.19;88.25;89.08;"              precision    recall  f1-score   support

          -1       0.41      0.89      0.56        95
           0       0.50      0.09      0.16        95
           1       0.78      0.49      0.61        95

    accuracy                           0.49       285
   macro avg       0.56      0.49      0.44       285
weighted avg       0.56      0.49      0.44       285
";"[[85 79 43]
 [ 4  9  5]
 [ 6  7 47]]";0 hour:3 min:0 sec
WordPhonemeFreq@0011@One;LogisticRegression;69.77;69.82;69.82;70.03;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.49      0.51        95
           1       0.79      0.62      0.69        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.60       285
weighted avg       0.61      0.59      0.60       285
";"[[63 40 16]
 [24 47 20]
 [ 8  8 59]]";0 hour:2 min:36 sec
WordPhonemeFreq@0100@One;SVM;67.91;67.8;67.8;68.49;"              precision    recall  f1-score   support

          -1       0.53      0.66      0.59        95
           0       0.52      0.52      0.52        95
           1       0.79      0.59      0.67        95

    accuracy                           0.59       285
   macro avg       0.61      0.59      0.59       285
weighted avg       0.61      0.59      0.59       285
";"[[63 39 18]
 [24 49 21]
 [ 8  7 56]]";0 hour:5 min:13 sec
