model_name;classifier;f1;accuracy;recall;precision;classification;confusion;sample_train;sample_test;time_processing
WordPhonemeFreq@0001@All;SVM;56.28;56.49;56.49;57.07;"              precision    recall  f1-score   support

          -1       0.52      0.61      0.56        41
           0       0.44      0.44      0.44        41
           1       0.71      0.59      0.64        41

    accuracy                           0.54       123
   macro avg       0.56      0.54      0.55       123
weighted avg       0.56      0.54      0.55       123
";"[[25 17  6]
 [12 18 11]
 [ 4  6 24]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:22 sec
WordPhonemeFreq@0001@One;SVM;56.46;56.4;56.4;57.73;"              precision    recall  f1-score   support

          -1       0.48      0.59      0.53        41
           0       0.44      0.44      0.44        41
           1       0.78      0.61      0.68        41

    accuracy                           0.54       123
   macro avg       0.57      0.54      0.55       123
weighted avg       0.57      0.54      0.55       123
";"[[24 18  8]
 [15 18  8]
 [ 2  5 25]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:17 sec
WordPhonemeFreq@0001@All;RandomForest;52.12;52.97;53.55;52.07;"              precision    recall  f1-score   support

          -1       0.49      0.59      0.53        41
           0       0.45      0.41      0.43        41
           1       0.61      0.54      0.57        41

    accuracy                           0.51       123
   macro avg       0.52      0.51      0.51       123
weighted avg       0.52      0.51      0.51       123
";"[[24 18  7]
 [ 9 17 12]
 [ 8  6 22]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:15 sec
WordPhonemeFreq@0001@One;RandomForest;53.21;52.38;52.12;53.53;"              precision    recall  f1-score   support

          -1       0.45      0.54      0.49        41
           0       0.41      0.34      0.37        41
           1       0.70      0.68      0.69        41

    accuracy                           0.52       123
   macro avg       0.52      0.52      0.52       123
weighted avg       0.52      0.52      0.52       123
";"[[22 21  6]
 [13 14  7]
 [ 6  6 28]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:13 sec
WordPhonemeFreq@0001@All;LogisticRegression;54.98;55.67;55.67;55.34;"              precision    recall  f1-score   support

          -1       0.56      0.66      0.61        41
           0       0.51      0.46      0.49        41
           1       0.71      0.66      0.68        41

    accuracy                           0.59       123
   macro avg       0.60      0.59      0.59       123
weighted avg       0.60      0.59      0.59       123
";"[[27 15  6]
 [10 19  8]
 [ 4  7 27]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:21 sec
WordPhonemeFreq@0001@One;LogisticRegression;55.95;56.5;56.5;56.12;"              precision    recall  f1-score   support

          -1       0.48      0.59      0.53        41
           0       0.49      0.41      0.45        41
           1       0.68      0.63      0.66        41

    accuracy                           0.54       123
   macro avg       0.55      0.54      0.54       123
weighted avg       0.55      0.54      0.54       123
";"[[24 18  8]
 [11 17  7]
 [ 6  6 26]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:2 min:22 sec
WordPhonemeFreq@0010@All;SVM;56.42;56.6;56.6;57.35;"              precision    recall  f1-score   support

          -1       0.51      0.61      0.56        41
           0       0.44      0.44      0.44        41
           1       0.70      0.56      0.62        41

    accuracy                           0.54       123
   macro avg       0.55      0.54      0.54       123
weighted avg       0.55      0.54      0.54       123
";"[[25 17  7]
 [12 18 11]
 [ 4  6 23]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:15 sec
WordPhonemeFreq@0010@One;SVM;56.28;56.19;56.19;57.46;"              precision    recall  f1-score   support

          -1       0.49      0.59      0.53        41
           0       0.47      0.44      0.46        41
           1       0.72      0.63      0.68        41

    accuracy                           0.55       123
   macro avg       0.56      0.55      0.55       123
weighted avg       0.56      0.55      0.55       123
";"[[24 18  7]
 [12 18  8]
 [ 5  5 26]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:15 sec
WordPhonemeFreq@0010@All;RandomForest;52.74;52.68;53.24;52.64;"              precision    recall  f1-score   support

          -1       0.52      0.61      0.56        41
           0       0.39      0.39      0.39        41
           1       0.65      0.54      0.59        41

    accuracy                           0.51       123
   macro avg       0.52      0.51      0.51       123
weighted avg       0.52      0.51      0.51       123
";"[[25 16  7]
 [13 16 12]
 [ 3  9 22]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:13 sec
WordPhonemeFreq@0010@One;RandomForest;52.31;53.42;53.53;52.44;"              precision    recall  f1-score   support

          -1       0.48      0.56      0.52        41
           0       0.53      0.49      0.51        41
           1       0.70      0.63      0.67        41

    accuracy                           0.56       123
   macro avg       0.57      0.56      0.56       123
weighted avg       0.57      0.56      0.56       123
";"[[23 17  8]
 [11 20  7]
 [ 7  4 26]]";"Sample train:[(-1, 732), (0, 318), (1, 400)]
RandomUnderSampler train:[(-1, 318), (0, 318), (1, 318)]";"Sample test:[(-1, 95), (0, 41), (1, 66)]
RandomUnderSampler test:[(-1, 41), (0, 41), (1, 41)]";0 hour:3 min:11 sec
